"stateroute","mat.mean","elev.mean","map.mean","ndvi.mean","bio.mean.bio1","bio.mean.bio2","bio.mean.bio3","bio.mean.bio4","bio.mean.bio5","bio.mean.bio6","bio.mean.bio7","bio.mean.bio8","bio.mean.bio9","bio.mean.bio10","bio.mean.bio11","bio.mean.bio12","bio.mean.bio13","bio.mean.bio14","bio.mean.bio15","bio.mean.bio16","bio.mean.bio17","bio.mean.bio18","bio.mean.bio19","aou","occ","presence","ALPHA.CODE","latitude","longitude","sp_success","sp_fail","pred_glm_pr","pred_glm_occ","pred_gam_pr","pred_gam_occ","pred_rf_occ","pred_rf_pr","max_pred_pres"
6001,125.300925925926,1608,28.2824074074074,0.33306862745098,124.321799307958,155.871972318339,41.7439446366782,7680.31487889273,328.131487889273,-41.1141868512111,369.245674740484,128.456747404844,154.733564013841,226.567474048443,31.4290657439446,341.61937716263,44.1245674740484,9.88581314878893,33.2006920415225,109.76124567474,46.6470588235294,89.8581314878893,97.0449826989619,5120,0,0,"GTGR",36.4118157,-113.3253169,0,15,0.0919261265147319,0.00898424642913257,0.132616910828592,0.0108915815428866,0.0226505276225946,0.153656462585034,0.360899418592453
6002,95.8157894736842,1931,27.4649122807018,0.375538812785388,98.608843537415,155.775510204082,40.4591836734694,7950.41156462585,306.251700680272,-74.2823129251701,380.534013605442,115.962585034014,132.863945578231,203.493197278912,0.32312925170068,314.037414965986,40.0034013605442,10.8231292517007,30.078231292517,99.891156462585,45.6156462585034,82.765306122449,88.812925170068,5120,0,0,"GTGR",36.7313947,-112.0460509,0,15,0.0450837402476986,0.00464402182523985,0.0020240467670886,0.000236743952722105,0.00136236739251808,0.0345303867403307,0.147525072097778
6003,119.185185185185,1646.55555555556,16.5277777777778,0.1736899543379,119.989619377163,157.733564013841,39.2560553633218,8500.0830449827,332.065743944637,-64.6470588235294,396.712802768166,223.159169550173,160.283737024221,230.709342560554,11.9965397923875,196.16955017301,30.0726643598616,6.72664359861592,35.7612456747405,72.1764705882353,28.7785467128028,60.0034602076125,45.5847750865052,5120,0,0,"GTGR",36.1623537,-111.3865819,0,15,0.0927352457963968,0.00920281378146441,0.0527771190954366,0.00449460707651749,0.00244922341696532,0.0219780219780215,0.21929532289505
6004,106.239583333333,1984.75,21.1666666666667,0.264622072072072,106.797945205479,139.986301369863,36.3527397260274,8469.97945205479,311.356164383562,-68.4931506849315,379.849315068493,210.061643835616,145.547945205479,217.986301369863,0.383561643835616,251.869863013699,34.6746575342466,7.8527397260274,33.7808219178082,89.2739726027397,34.208904109589,72.7534246575343,58.8835616438356,5120,0,0,"GTGR",36.5612867,-110.5019459,0,15,0.0421726494823773,0.00399520838308008,0.00127164003558812,0.00014231757409371,0.000909090909090873,0.036185383244206,0.0994495525956154
6005,104.976851851852,1868.16666666667,22.1018518518519,0.283720091324201,106.166089965398,157.204152249135,38.5328719723183,8628.46020761246,318.59169550173,-84.2560553633218,402.847750865052,200.519031141869,146.730103806228,219.055363321799,-3.83044982698962,260.826989619377,35.4221453287197,7.82352941176471,35.1833910034602,93.5536332179931,34.5363321799308,74.4567474048443,60.0934256055363,5120,0,0,"GTGR",36.5089267,-109.4726859,0,15,0.0642224274991258,0.00640261026539346,0.00263768444169264,0.000334181164042264,0.00244444444444439,0.0606403013182669,0.140891373157501
6006,175.34649122807,920.631578947368,14.780701754386,0.181774013656699,179.240549828179,139.546391752577,37.6116838487972,8227.97250859106,378.821305841924,12.2611683848797,366.560137457045,135.704467353952,214.175257731959,287.498281786942,78.0481099656357,169.419243986254,23.0137457044674,3.34020618556701,38.7182130584192,57.2164948453608,18.573883161512,42.914089347079,50.6357388316151,5120,0,0,"GTGR",35.8986777,-114.2909089,0,15,0.18532108164798,0.017114797764834,0.161756134264429,0.0108459404033822,0.00719667943805875,0.0921267893660532,0.407033056020737
6007,118.916666666667,1629.27777777778,27.6203703703704,0.311586854460094,117.909407665505,171.236933797909,45.993031358885,7263.66898954704,321.379790940767,-46.7909407665505,368.170731707317,209.885017421603,145.717770034843,214.857142857143,30.2787456445993,335.620209059233,54.4564459930314,9.77700348432056,43.2020905923345,128.04181184669,39.9825783972125,109.365853658537,86.6759581881533,5120,0,0,"GTGR",35.5156177,-113.2016679,0,15,0.127826557189192,0.0130598198979063,0.152230768462944,0.0134012088647897,0.0147569444444444,0.0829787234042548,0.383728682994843
6008,109.149122807018,1772.73684210526,30.0438596491228,0.326374885844749,107.166089965398,168.747404844291,45.4048442906574,7281.49134948097,310.678200692042,-56.8512110726644,367.529411764706,199.076124567474,135.536332179931,204.214532871972,19.3321799307958,365.761245674741,56.3875432525952,11.7474048442907,39.5155709342561,134.155709342561,46.916955017301,115.730103806228,94.6782006920415,5120,0,0,"GTGR",35.7549067,-112.8721919,0,15,0.0968389057128134,0.00986884185592867,0.0277232885896215,0.00234919059054964,0.0142563198118754,0.122759856630824,0.267702490091324
6009,94.530701754386,1967.42105263158,35.7850877192982,0.409044848721961,95.2832167832168,161.685314685315,43.0909090909091,7543.53146853147,295.472027972028,-76.2342657342657,371.706293706294,188.762237762238,127.954545454545,194.314685314685,1.31118881118881,422.20979020979,60.5559440559441,10.8146853146853,39.2412587412587,153.258741258741,50.9335664335664,125.699300699301,111.723776223776,5120,0,0,"GTGR",35.3950617,-111.5777809,0,15,0.0625429211876528,0.00623909852898078,0.00232630201769539,0.000281898070427476,0.0038237119801365,0.00478821362799223,0.184699565172195
6010,114.029411764706,1756.64705882353,18.7745098039216,0.17315296803653,114.07560137457,162.79381443299,40.1305841924399,8456.51890034364,326.360824742268,-74.4570446735395,400.817869415808,217.247422680412,153.240549828179,224.037800687285,6.47766323024055,224.525773195876,34.8178694158076,6.4639175257732,40.0756013745704,87.2852233676976,28.9553264604811,70.4089347079038,49.4914089347079,5120,0,0,"GTGR",35.8687197,-110.6230399,0,15,0.098584782523001,0.00989534060942921,0.0164936247924733,0.00173030451961264,0.00704710144927537,0.0421626984126977,0.199275463819504
6011,87.8101851851852,2152.38888888889,27.0416666666667,0.360796713615024,88,166.607638888889,42.1215277777778,7974.34722222222,292.565972222222,-98.2395833333333,390.805555555556,185.569444444444,123.871527777778,192.534722222222,-12.5972222222222,322.229166666667,51.1631944444444,10.1284722222222,44.0451388888889,130.298611111111,38.5694444444444,107.493055555556,68.15625,5120,0,0,"GTGR",35.678979,-109.2046208,0,15,0.0509988630281544,0.00529383140370457,0.00363556562501494,0.000509760644364448,0.00130824372759851,0.0103578154425606,0.0854226723313332
